p,X,Y,Z,VX,VY,VZ,pitch,yaw,roll,bisBridgeOut
Player State227,-6,-7,14,0,0,0,0,0,0,FALSE
Player State228,-6,-7,14,0,0,0,0,0,0,FALSE
Player State229,-6,-7,14,0,0,0,0,0,0,FALSE
Player State230,-6,-7,14,0,0,0,0,0,0,FALSE
Player State231,-6,-7,14,0,0,0,0,0,0,FALSE
Player State232,-6,-7,14,0,0,0,0,0,0,FALSE
Player State233,-6,-7,14,0,0,0,0,0,0,FALSE
Player State234,-6,-7,14,0,0,0,0,0,0,FALSE
Player State235,-6,-7,14,0,0,0,0,0,0,FALSE
Player State236,-6,-7,14,0,0,0,0,0,0,FALSE
Player State237,-6,-7,14,0,0,0,0,0,0,FALSE
Player State238,-6,-7,14,0,0,0,0,0,0,FALSE
Player State239,-6,-7,14,0,0,0,0,0,0,FALSE
Player State240,-6,-7,14,0,0,0,0,0,0,FALSE
Player State241,-6,-7,14,0,0,0,0,0,0,FALSE
Player State242,-6,-7,14,0,0,0,0,0,0,FALSE
Player State243,-6,-7,14,0,0,0,0,0,0,FALSE
Player State244,-6,-7,14,0,0,0,0,0,0,FALSE
Player State245,-6,-7,14,0,0,0,0,0,0,FALSE
Player State246,-6,-7,14,0,0,0,0,0,0,FALSE
Player State247,-6,-7,14,0,0,0,0,0,0,FALSE
Player State248,-6,-7,14,0,0,0,0,0,0,FALSE
Player State249,-6,-7,14,0,0,0,0,0,0,FALSE
Player State250,-6,-7,14,0,0,0,0,0,0,FALSE
Player State251,-6,-7,14,0,0,0,0,0,0,FALSE
Player State252,-6,-7,14,0,0,0,0,0,0,FALSE
Player State253,-6,-7,14,0,0,0,0,0,0,FALSE
Player State254,-6,-7,14,0,0,0,0,0,0,FALSE
Player State255,-6,-7,14,0,0,0,0,0,0,FALSE
Player State256,-6,-7,14,0,0,0,0,0,0,FALSE
Player State257,-6,-7,14,0,0,0,0,0,0,FALSE
Player State258,-6,-7,14,0,0,0,0,0,0,FALSE
Player State259,-6,-7,14,0,0,0,0,0,0,FALSE
Player State260,-6,-7,14,0,0,0,0,0,0,FALSE
Player State261,-6,-7,14,0,0,0,0,0,0,FALSE
Player State262,-6,-7,14,0,0,0,0,0,0,FALSE
Player State263,-6,-7,14,0,0,0,0,0,0,FALSE
Player State264,-6,-7,14,0,0,0,0,0,0,FALSE
Player State265,-6,-7,14,0,0,0,0,0,0,FALSE
Player State266,-6,-7,14,0,0,0,0,0,0,FALSE
Player State267,-6,-7,14,0,0,0,0,0,0,FALSE
Player State268,-6,-7,14,0,0,0,0,0,0,FALSE
Player State269,-6,-7,14,0,0,0,0,0,0,FALSE
Player State270,-6,-7,14,0,0,0,0,0,0,FALSE
Player State271,-6,-7,14,0,0,0,0,0,0,FALSE
Player State272,-6,-7,14,0,0,0,0,0,0,FALSE
Player State273,-6,-7,14,0,0,0,0,0,0,FALSE
Player State274,-6,-7,14,0,0,0,0,0,0,FALSE
Player State275,-6,-7,14,0,0,0,0,0,0,FALSE
Player State276,-6,-7,14,0,0,0,0,0,0,FALSE
Player State277,-6,-7,14,0,0,0,0,0,0,FALSE
Player State278,-6,-7,14,0,0,0,0,0,0,FALSE
Player State279,-6,-7,14,0,0,0,0,0,0,FALSE
Player State280,-6,-7,14,0,0,0,0,0,0,FALSE
Player State281,-6,-7,14,0,0,0,0,0,0,FALSE
Player State282,-6,-7,14,0,0,0,0,0,0,FALSE
Player State283,-6,-7,14,0,0,0,0,0,0,FALSE
Player State284,-6,-7,14,0,0,0,0,0,0,FALSE
Player State285,-6,-7,14,0,0,0,0,0,0,FALSE
Player State286,-6,-7,14,0,0,0,0,0,0,FALSE
Player State287,-6,-7,14,0,0,0,0,0,0,FALSE
Player State288,-6,-7,14,0,0,0,0,0,0,FALSE
Player State289,-6,-7,14,0,0,0,0,0,0,FALSE
Player State290,-6,-7,14,0,0,0,0,0,0,FALSE
Player State291,-6,-7,14,0,0,0,0,0,0,FALSE
Player State292,-6,-7,14,0,0,0,0,0,0,FALSE
Player State293,-6,-7,14,0,0,0,0,0,0,FALSE
Player State294,-6,-7,14,0,0,0,0,0,0,FALSE
Player State295,-6,-7,14,0,0,0,0,0,0,FALSE
Player State296,-6,-7,14,0,0,0,0,0,0,FALSE
Player State297,-6,-7,14,0,0,0,0,0,0,FALSE
Player State298,-6,-7,14,0,0,0,0,0,0,FALSE
Player State299,-6,-7,14,0,0,0,0,0,0,FALSE
Player State300,-6,-7,14,0,0,0,0,0,0,FALSE
Player State301,-6,-7,14,0,0,0,0,0,0,FALSE
Player State302,-6,-7,14,0,0,0,0,0,0,FALSE
Player State303,-6,-7,14,0,0,0,0,0,0,FALSE
Player State304,-6,-7,14,0,0,0,0,0,0,FALSE
Player State305,-6,-7,14,0,0,0,0,0,0,FALSE
Player State306,-6,-7,14,0,0,0,0,0,0,FALSE
Player State307,-6,-7,14,0,0,0,0,0,0,FALSE
Player State308,-6,-7,14,0,0,0,0,0,0,FALSE
Player State309,-6,-7,14,0,0,0,0,0,0,FALSE
Player State310,-6,-7,14,0,0,0,0,0,0,FALSE
Player State311,-6,-7,14,0,0,0,0,0,0,FALSE
Player State312,-6,-7,14,0,0,0,0,0,0,FALSE
Player State313,-6,-7,14,0,0,0,0,0,0,FALSE
Player State314,-6,-7,14,0,0,0,0,0,0,FALSE
Player State315,-6,-7,14,0,0,0,0,0,0,FALSE
Player State316,-6,-7,14,0,0,0,0,0,0,FALSE
Player State317,-6,-7,14,0,0,0,0,0,0,FALSE
Player State318,-6,-7,14,0,0,0,0,0,0,FALSE
Player State319,-6,-7,14,0,0,0,0,0,0,FALSE
Player State320,-6,-7,14,0,0,0,0,0,0,FALSE
Player State321,-6,-7,14,0,0,0,0,0,0,FALSE
Player State322,-6,-7,14,0,0,0,0,0,0,FALSE
Player State323,-6,-7,14,0,0,0,0,0,0,FALSE
Player State324,-6,-7,14,0,0,0,0,0,0,FALSE
Player State325,-6,-7,14,0,0,0,0,0,0,FALSE
Player State326,-6,-7,14,0,0,0,0,0,0,FALSE
Player State327,-6,-7,14,0,0,0,0,0,0,FALSE
Player State328,-6,-7,14,0,0,0,0,0,0,FALSE
Player State329,-6,-7,14,0,0,0,0,0,0,FALSE
Player State330,-6,-7,14,0,0,0,0,0,0,FALSE
Player State331,-6,-7,14,0,0,0,0,0,0,FALSE
Player State332,-6,-7,14,0,0,0,0,0,0,FALSE
Player State333,-6,-7,14,0,0,0,0,0,0,FALSE
Player State334,-6,-7,14,0,0,0,0,0,0,FALSE
Player State335,-6,-7,14,0,0,0,0,0,0,FALSE
Player State336,-6,-7,14,0,0,0,0,0,0,FALSE
Player State337,-6,-7,14,0,0,0,0,0,0,FALSE
Player State338,-6,-7,14,0,0,0,0,0,0,FALSE
Player State339,-6,-7,14,0,0,0,0,0,0,FALSE
Player State340,-6,-7,14,0,0,0,0,0,0,FALSE
Player State341,-6,-7,14,0,0,0,0,0,0,FALSE
Player State342,-6,-7,14,0,0,0,0,0,0,FALSE
Player State343,-6,-7,14,0,0,0,0,0,0,FALSE
Player State344,-6,-7,14,0,0,0,0,0,0,FALSE
Player State345,-6,-7,14,0,0,0,0,0,0,FALSE
Player State346,-6,-7,14,0,0,0,0,0,0,FALSE
Player State347,-6,-7,14,0,0,0,0,0,0,FALSE
Player State348,-6,-7,14,0,0,0,0,0,0,FALSE
Player State349,-6,-7,14,0,0,0,0,0,0,FALSE
Player State350,-6,-7,14,0,0,0,0,0,0,FALSE
Player State351,-6,-7,14,0,0,0,0,0,0,FALSE
Player State352,-6,-7,14,0,0,0,0,0,0,FALSE
Player State353,-6,-7,14,0,0,0,0,0,0,FALSE
Player State354,-6,-7,14,0,0,0,0,0,0,FALSE
Player State355,-6,-7,14,0,0,0,0,0,0,FALSE
Player State356,-6,-7,14,0,0,0,0,0,0,FALSE
Player State357,-6,-7,14,0,0,0,0,0,0,FALSE
Player State358,-6,-7,14,0,0,0,0,0,0,FALSE
Player State359,-6,-7,14,0,0,0,0,0,0,FALSE
Player State360,-6,-7,14,0,0,0,0,0,0,FALSE
Player State361,-6,-7,14,0,0,0,0,0,0,FALSE
Player State362,-6,-7,14,0,0,0,0,0,0,FALSE
Player State363,-6,-7,14,0,0,0,0,0,0,FALSE
Player State364,-6,-7,14,0,0,0,0,0,0,FALSE
Player State365,-6,-7,14,0,0,0,0,0,0,FALSE
Player State366,-6,-7,14,0,0,0,0,0,0,FALSE
Player State367,-6,-7,14,0,0,0,0,0,0,FALSE
Player State368,-6,-7,14,0,0,0,0,0,0,FALSE
Player State369,-6,-7,14,0,0,0,0,0,0,FALSE
Player State370,-6,-7,14,0,0,0,0,0,0,FALSE
Player State371,-6,-7,14,0,0,0,0,0,0,FALSE
Player State372,-6,-7,14,0,0,0,0,0,0,FALSE
Player State373,-6,-7,14,0,0,0,0,0,0,FALSE
Player State374,-6,-7,14,0,0,0,0,0,0,FALSE
Player State375,-6,-7,14,0,0,0,0,0,0,FALSE
Player State376,-6,-7,14,0,0,0,0,0,0,FALSE
Player State377,-6,-7,14,0,0,0,0,0,0,FALSE
Player State378,-6,-7,14,0,0,0,0,0,0,FALSE
Player State379,-6,-7,14,0,0,0,0,0,0,FALSE
Player State380,-6,-7,14,0,0,0,0,0,0,FALSE
Player State381,-6,-7,14,0,0,0,0,0,0,FALSE
Player State382,-6,-7,14,0,0,0,0,0,0,FALSE
Player State383,-6,-7,14,0,0,0,0,0,0,FALSE
Player State384,-6,-7,14,0,0,0,0,0,0,FALSE
Player State385,-6,-7,14,0,0,0,0,0,0,FALSE
Player State386,-6,-7,14,0,0,0,0,0,0,FALSE
Player State387,-6,-7,14,0,0,0,0,0,0,FALSE
Player State388,-6,-7,14,0,0,0,0,0,0,FALSE
Player State389,-6,-7,14,0,0,0,0,0,0,FALSE
Player State390,-6,-7,14,0,0,0,0,0,0,FALSE
Player State391,-6,-7,14,0,0,0,0,0,0,FALSE
Player State392,-6,-7,14,0,0,0,0,0,0,FALSE
Player State393,-6,-7,14,0,0,0,0,0,0,FALSE
Player State394,-6,-7,14,0,0,0,0,0,0,FALSE
Player State395,-6,-7,14,0,0,0,0,0,0,FALSE
Player State396,-6,-7,14,0,0,0,0,0,0,FALSE
Player State397,-6,-7,14,0,0,0,0,0,0,FALSE
Player State398,-6,-7,14,0,0,0,0,0,0,FALSE
Player State399,-6,-7,14,0,0,0,0,0,0,FALSE
Player State400,-6,-7,14,0,0,0,0,0,0,FALSE
Player State401,-6,-7,14,0,0,0,0,0,0,FALSE
Player State402,-6,-7,14,0,0,0,0,0,0,FALSE
Player State403,-6,-7,14,0,0,0,0,0,0,FALSE
Player State404,-6,-7,14,0,0,0,0,0,0,FALSE
Player State405,-6,-7,14,0,0,0,0,0,0,FALSE
Player State406,-6,-7,14,0,0,0,0,0,0,FALSE
Player State407,-6,-7,14,0,0,0,0,0,0,FALSE
Player State408,-6,-7,14,0,0,0,0,0,0,FALSE
Player State409,-6,-7,14,0,0,0,0,0,0,FALSE
Player State410,-6,-7,14,0,0,0,0,0,0,FALSE
Player State411,-6,-7,14,0,0,0,0,0,0,FALSE
Player State412,-6,-7,14,0,0,0,0,0,0,FALSE
Player State413,-6,-7,14,0,0,0,0,0,0,FALSE
Player State414,-6,-7,14,0,0,0,0,0,0,FALSE
Player State415,-6,-7,14,0,0,0,0,0,0,FALSE
Player State416,-6,-7,14,0,0,0,0,0,0,FALSE
Player State417,-6,-7,14,0,0,0,0,0,0,FALSE
Player State418,-6,-7,14,0,0,0,0,0,0,FALSE
Player State419,-6,-7,14,0,0,0,0,0,0,FALSE
Player State420,-6,-7,14,0,0,0,0,0,0,FALSE
Player State421,-6,-7,14,0,0,0,0,0,0,FALSE
Player State422,-6,-7,14,0,0,0,0,0,0,FALSE
Player State423,-6,-7,14,0,0,0,0,0,0,FALSE
Player State424,-6,-7,14,0,0,0,0,0,0,FALSE
Player State425,-6,-7,14,0,0,0,0,0,0,FALSE
Player State426,-6,-7,14,0,0,0,0,0,0,FALSE
Player State427,-6,-7,14,0,0,0,0,0,0,FALSE
Player State428,-6,-7,14,0,0,0,0,0,0,FALSE
Player State429,-6,-7,14,0,0,0,0,0,0,FALSE
Player State430,-6,-7,14,0,0,0,0,0,0,FALSE
Player State431,-6,-7,14,0,0,0,0,0,0,FALSE
Player State432,-6,-7,14,0,0,0,0,0,0,FALSE
Player State433,-6,-7,14,0,0,0,0,0,0,FALSE
Player State434,-6,-7,14,0,0,0,0,0,0,FALSE
Player State435,-6,-7,14,0,0,0,0,0,0,FALSE
Player State436,-6,-7,14,0,0,0,0,0,0,FALSE
Player State437,-6,-7,14,0,0,0,0,0,0,FALSE
Player State438,-6,-7,14,0,0,0,0,0,0,FALSE
Player State439,-6,-7,14,0,0,0,0,0,0,FALSE
Player State440,-6,-7,14,0,0,0,0,0,0,FALSE
Player State441,-6,-7,14,0,0,0,0,0,0,FALSE
Player State442,-6,-7,14,0,0,0,0,0,0,FALSE
Player State443,-6,-7,14,0,0,0,0,0,0,FALSE
Player State444,-6,-7,14,0,0,0,0,0,0,FALSE
Player State445,-6,-7,14,0,0,0,0,0,0,FALSE
Player State446,-6,-7,14,0,0,0,0,0,0,FALSE
Player State447,-6,-7,14,0,0,0,0,0,0,FALSE
Player State448,-6,-7,14,0,0,0,0,0,0,FALSE
Player State449,-6,-7,14,0,0,0,0,0,0,FALSE
Player State450,-6,-7,14,0,0,0,0,0,0,FALSE
Player State451,-6,-7,14,0,0,0,0,0,0,FALSE
Player State452,-6,-7,14,0,0,0,0,0,0,FALSE
Player State453,-6,-7,14,0,0,0,0,0,0,FALSE
Player State454,-6,-7,14,0,0,0,0,0,0,FALSE
Player State455,-6,-7,14,0,0,0,0,0,0,FALSE
Player State456,-6,-7,14,0,0,0,0,0,0,FALSE
Player State457,-6,-7,14,0,0,0,0,0,0,FALSE
Player State458,-6,-7,14,0,0,0,0,0,0,FALSE
Player State459,-6,-7,14,0,0,0,0,0,0,FALSE
Player State460,-6,-7,14,0,0,0,0,0,0,FALSE
Player State461,-6,-7,14,0,0,0,0,0,0,FALSE
Player State462,-6,-7,14,0,0,0,0,0,0,FALSE
