---,X,Y,Z,VX,VY,VZ,pitch,yaw,roll,bisBridgeOut
Player State332,"-15","-5","13","0","0","0","0","0","0","False"
Player State333,"-15","-5","13","0","0","0","0","0","0","False"
Player State334,"-15","-5","13","0","0","0","0","0","0","False"
Player State335,"-15","-5","13","0","0","0","0","0","0","False"
Player State336,"-15","-5","13","0","0","0","0","0","0","False"
Player State337,"-15","-5","13","0","0","0","0","0","0","False"
Player State338,"-15","-5","13","0","0","0","0","0","0","False"
Player State339,"-15","-5","13","0","0","0","0","0","0","False"
Player State340,"-15","-5","13","0","0","0","0","0","0","False"
Player State341,"-15","-5","13","0","0","0","0","0","0","False"
Player State342,"-15","-5","13","0","0","0","0","0","0","False"
Player State343,"-15","-5","13","0","0","0","0","0","0","False"
Player State344,"-15","-5","13","0","0","0","0","0","0","False"
Player State345,"-15","-5","13","0","0","0","0","0","0","False"
Player State346,"-15","-5","13","0","0","0","0","0","0","False"
Player State347,"-15","-5","13","0","0","0","0","0","0","False"
Player State348,"-15","-5","13","0","0","0","0","0","0","False"
Player State349,"-15","-5","13","0","0","0","0","0","0","False"
Player State350,"-15","-5","13","0","0","0","0","0","0","False"
Player State351,"-15","-5","13","0","0","0","0","0","0","False"
Player State352,"-15","-5","13","0","0","0","0","0","0","False"
Player State353,"-15","-5","13","0","0","0","0","0","0","False"
Player State354,"-15","-5","13","0","0","0","0","0","0","False"
Player State355,"-15","-5","13","0","0","0","0","0","0","False"
Player State356,"-15","-5","13","0","0","0","0","0","0","False"
Player State357,"-15","-5","13","0","0","0","0","0","0","False"
Player State358,"-15","-5","13","0","0","0","0","0","0","False"
Player State359,"-15","-5","13","0","0","0","0","0","0","False"
Player State360,"-15","-5","13","0","0","0","0","0","0","False"
Player State361,"-15","-5","13","0","0","0","0","0","0","False"
Player State362,"-15","-5","13","0","0","0","0","0","0","False"
Player State363,"-15","-5","13","0","0","0","0","0","0","False"
Player State364,"-15","-5","13","0","0","0","0","0","0","False"
Player State365,"-15","-5","13","0","0","0","0","0","0","False"
Player State366,"-15","-5","13","0","0","0","0","0","0","False"
Player State367,"-15","-5","13","0","0","0","0","0","0","False"
Player State368,"-15","-5","13","0","0","0","0","0","0","False"
Player State369,"-15","-5","13","0","0","0","0","0","0","False"
Player State370,"-15","-5","13","0","0","0","0","0","0","False"
